Attack Number,Total Distance
21/12/2023 11:49:46,410,6.797356
21/12/2023 11:49:46,411,6.800632
21/12/2023 11:49:46,412,6.803733
21/12/2023 11:49:46,413,6.808238
21/12/2023 11:49:46,414,6.812469
21/12/2023 11:49:46,415,6.816212
21/12/2023 11:49:46,416,6.820723
21/12/2023 11:49:46,417,6.827044
21/12/2023 11:49:46,418,6.831996
21/12/2023 11:49:46,419,6.837141
21/12/2023 11:49:46,420,6.843472
21/12/2023 11:49:46,421,6.849327
21/12/2023 11:49:46,422,6.85588
21/12/2023 11:49:46,423,6.862635
21/12/2023 11:49:46,424,6.869362
21/12/2023 11:49:46,425,6.876617
21/12/2023 11:49:46,426,6.884349
21/12/2023 11:49:46,427,6.892968
21/12/2023 11:49:46,428,6.902285
21/12/2023 11:49:46,429,6.910122
21/12/2023 11:49:46,430,6.918958
21/12/2023 11:49:46,431,6.933893
21/12/2023 11:49:46,432,6.94712
21/12/2023 11:49:46,433,6.956387
21/12/2023 11:49:46,434,6.965964
21/12/2023 11:49:46,435,6.977679
21/12/2023 11:49:46,436,6.98843
21/12/2023 11:49:46,437,6.998995
21/12/2023 11:49:46,438,7.010197
21/12/2023 11:49:46,439,7.022353
21/12/2023 11:49:46,440,7.034314
21/12/2023 11:49:46,441,7.046548
21/12/2023 11:49:46,442,7.055427
21/12/2023 11:49:46,443,7.071868
21/12/2023 11:49:46,444,7.085832
21/12/2023 11:49:46,445,7.097862
21/12/2023 11:49:46,446,7.113272
21/12/2023 11:49:46,447,7.127701
21/12/2023 11:49:46,448,7.168284
21/12/2023 11:49:46,449,7.180144
21/12/2023 11:49:46,450,7.193829
21/12/2023 11:49:46,451,7.211099
21/12/2023 11:49:46,452,7.226989
21/12/2023 11:49:46,453,7.248049
21/12/2023 11:49:46,454,7.262336
21/12/2023 11:49:46,455,7.279728
21/12/2023 11:49:46,456,7.30545
21/12/2023 11:49:46,457,7.320769
21/12/2023 11:49:46,458,7.337536
21/12/2023 11:49:46,459,7.357965
21/12/2023 11:49:46,460,7.376762
21/12/2023 11:49:46,461,7.397077
21/12/2023 11:49:46,462,7.439262
21/12/2023 11:49:46,463,7.471486
21/12/2023 11:49:46,464,7.508225
21/12/2023 11:49:46,465,7.545363
21/12/2023 11:49:46,466,7.605602
21/12/2023 11:49:46,467,7.636503
21/12/2023 11:49:46,468,7.681133
21/12/2023 11:49:46,469,7.71189
21/12/2023 11:49:46,470,7.747828
21/12/2023 11:49:46,471,7.778359
21/12/2023 11:49:46,472,7.809677
21/12/2023 11:49:46,473,7.838176
21/12/2023 11:49:46,474,7.870686
21/12/2023 11:49:46,475,7.902479
21/12/2023 11:49:46,476,7.932401
21/12/2023 11:49:46,477,7.932902
21/12/2023 11:49:46,478,7.93763
21/12/2023 11:49:46,479,7.9391
21/12/2023 11:49:46,480,7.943269
21/12/2023 11:49:46,481,7.947164
21/12/2023 11:49:46,482,7.9526
21/12/2023 11:49:47,483,7.95836
21/12/2023 11:49:47,484,7.964879
21/12/2023 11:49:47,485,7.972267
21/12/2023 11:49:47,486,7.980553
21/12/2023 11:49:47,487,7.991152
21/12/2023 11:49:47,488,8.000108
21/12/2023 11:49:47,489,8.011294
21/12/2023 11:49:47,490,8.022614
21/12/2023 11:49:47,491,8.034433
21/12/2023 11:49:47,492,8.048241
21/12/2023 11:49:47,493,8.063751
21/12/2023 11:49:47,494,8.079178
21/12/2023 11:49:47,495,8.094204
21/12/2023 11:49:47,496,8.112604
21/12/2023 11:49:47,497,8.126961
21/12/2023 11:49:47,498,8.14476
21/12/2023 11:49:47,499,8.163699
21/12/2023 11:49:47,500,8.185041
21/12/2023 11:49:47,501,8.203387
21/12/2023 11:49:47,502,8.223363
21/12/2023 11:49:47,503,8.246703
21/12/2023 11:49:47,504,8.268733
21/12/2023 11:49:47,505,8.316899
21/12/2023 11:49:47,506,8.329003
21/12/2023 11:49:47,507,8.3474
21/12/2023 11:49:47,508,8.362991
21/12/2023 11:49:47,509,8.378605
21/12/2023 11:49:47,510,8.397985
21/12/2023 11:49:47,511,8.419609
21/12/2023 11:49:47,512,8.433622
21/12/2023 11:49:47,513,8.450588
21/12/2023 11:49:47,514,8.469589
21/12/2023 11:49:47,515,8.486734
21/12/2023 11:49:47,516,8.503776
21/12/2023 11:49:47,517,8.522386
21/12/2023 11:49:47,518,8.543909
21/12/2023 11:49:47,519,8.569964
21/12/2023 11:49:47,520,8.586985
21/12/2023 11:49:47,521,8.611639
21/12/2023 11:49:47,522,8.630815
21/12/2023 11:49:47,523,8.651711
21/12/2023 11:49:47,524,8.673311
21/12/2023 11:49:47,525,8.703279
21/12/2023 11:49:47,526,8.720972
21/12/2023 11:49:47,527,8.740664
21/12/2023 11:49:47,528,8.767119
21/12/2023 11:49:47,529,8.801827
21/12/2023 11:49:47,530,8.835262
21/12/2023 11:49:47,531,8.866694
21/12/2023 11:49:47,532,8.886636
21/12/2023 11:49:47,533,8.907135
21/12/2023 11:49:47,534,8.931735
21/12/2023 11:49:47,535,8.953732
21/12/2023 11:49:47,536,8.974145
21/12/2023 11:49:47,537,8.994171
21/12/2023 11:49:47,538,9.019267
21/12/2023 11:49:47,539,9.048827
21/12/2023 11:49:47,540,9.06795
21/12/2023 11:49:47,541,9.091674
21/12/2023 11:49:47,542,9.112835
21/12/2023 11:49:47,543,9.134318
21/12/2023 11:49:47,544,9.157346
21/12/2023 11:49:47,545,9.226851
21/12/2023 11:49:47,546,9.244454
21/12/2023 11:49:47,547,9.267053
21/12/2023 11:49:47,548,9.293996
21/12/2023 11:49:47,549,9.314377
21/12/2023 11:49:47,550,9.33784
21/12/2023 11:49:47,551,9.3706
21/12/2023 11:49:47,552,9.38939
21/12/2023 11:49:47,553,9.410264
21/12/2023 11:49:47,554,9.434852
21/12/2023 11:49:47,555,9.454941
21/12/2023 11:49:47,556,9.474939
21/12/2023 11:49:47,557,9.495856
21/12/2023 11:49:47,558,9.52152
21/12/2023 11:49:47,559,9.560366
21/12/2023 11:49:47,560,9.592402
21/12/2023 11:49:47,561,9.614899
21/12/2023 11:49:47,562,9.636552
21/12/2023 11:49:47,563,9.660086
21/12/2023 11:49:47,564,9.68405
21/12/2023 11:49:47,565,9.713427
21/12/2023 11:49:47,566,9.736022
21/12/2023 11:49:47,567,9.761818
21/12/2023 11:49:47,568,9.783387
21/12/2023 11:49:47,569,9.802308
21/12/2023 11:49:47,570,9.822569
21/12/2023 11:49:47,571,9.845987
21/12/2023 11:49:47,572,9.865573
21/12/2023 11:49:47,573,9.886033
21/12/2023 11:49:47,574,9.907044
21/12/2023 11:49:47,575,9.926752
21/12/2023 11:49:47,576,9.94444
21/12/2023 11:49:47,577,9.962481
21/12/2023 11:49:47,578,9.982216
21/12/2023 11:49:47,579,9.998652
21/12/2023 11:49:47,580,10.01719
21/12/2023 11:49:47,581,10.03295
21/12/2023 11:49:47,582,10.05154
21/12/2023 11:49:47,583,10.06805
21/12/2023 11:49:47,584,10.08171
21/12/2023 11:49:47,585,10.10126
21/12/2023 11:49:47,586,10.14474
21/12/2023 11:49:47,587,10.16063
21/12/2023 11:49:47,588,10.17784
21/12/2023 11:49:47,589,10.19802
21/12/2023 11:49:47,590,10.21956
21/12/2023 11:49:47,591,10.23198
21/12/2023 11:49:47,592,10.24476
21/12/2023 11:49:47,593,10.25969
21/12/2023 11:49:47,594,10.27432
21/12/2023 11:49:47,595,10.28666
21/12/2023 11:49:47,596,10.30088
21/12/2023 11:49:47,597,10.35296
21/12/2023 11:49:47,598,10.36329
21/12/2023 11:49:47,599,10.37634
21/12/2023 11:49:47,600,10.38447
21/12/2023 11:49:47,601,10.39392
21/12/2023 11:49:47,602,10.40505
21/12/2023 11:49:47,603,10.41218
21/12/2023 11:49:47,604,10.41965
21/12/2023 11:49:47,605,10.42726
21/12/2023 11:49:47,606,10.43408
21/12/2023 11:49:47,607,10.43987
21/12/2023 11:49:47,608,10.44574
21/12/2023 11:49:47,609,10.45228
21/12/2023 11:49:47,610,10.45842
21/12/2023 11:49:47,611,10.46347
21/12/2023 11:49:47,612,10.46858
21/12/2023 11:49:47,613,10.47312
21/12/2023 11:49:47,614,10.47802
21/12/2023 11:49:47,615,10.48367
21/12/2023 11:49:47,616,10.4879
21/12/2023 11:49:47,617,10.49059
21/12/2023 11:49:47,618,10.49314
21/12/2023 11:49:47,619,10.49717
21/12/2023 11:49:47,620,10.4981
21/12/2023 11:49:47,621,10.49883
21/12/2023 11:49:47,622,10.49929
21/12/2023 11:49:47,623,10.49944
